Wissenschaftlicher Name,Deutscher Name,Bewertung,,,,,,RL BW
Stellaria media,Gewöhnliche Vogelmiere,X,,X,,,,*
Succisa pratensis,Gewöhnlicher Teufelsabbiß,,,,,,X,*
Taraxacum sectio Ruderalia,Wiesenlöwenzahn,X,,,,X,,*
Teucrium chamaedrys,Echter Gamander,,,,,,X,*
Thesium pyrenaicum,Wiesen-Leinblatt,,,,,,X,3
Thymus pulegioides,Früher Thymian (i.e.S.),,,,,,X,*
Tragopogon orientalis,Orientalischer Wiesenbocksbart,,,,,,X,*
Tragopogon pratensis,Gewöhnlicher Wiesenbocksbart,,,,,,X,*
Tragopogon pratensis agg.,Gewöhnlicher Wiesenbocksbart,,,,,,X,*
Traunsteinera globosa,Kugelorchis,,,,,,X,1
Trifolium dubium,Kleiner Klee,,,,,X,,*
Trifolium hybridum,Erdbeer-Klee,,,X,X,,,3
Trifolium montanum,Berg-Klee,,,,,,X,3
Trifolium pratense,Rot-Klee,,,,,X,,*
Trifolium repens,Weiß-Klee,,,,,X,,*
Trisetum flavescens,Gewöhnlicher Goldhafer,,,,,X,,*
Trollius europaeus,Trollblume,,,,,,X,3
Urtica dioica s.l.,Große Brennessel,X,X,X,,,,*
Valeriana officinalis s.l.,Arzneibaldrian,,X,,,,,*
Veronica arvensis,Feld-Ehrenpreis,,,,,X,,*
Veronica chamaedrys,Gamander-Ehrenpreis,,,,,X,,*
Veronica filiformis,Gamander-Ehrenpreis,X,,,,,,*
Veronica officinalis,Wald-Ehrenpreis,,,,,,X,*
Veronica serpyllifolia,Schild-Ehrenpreis,,,X,,,,3
Veronica teucrium,Großer Ehrenpreis,,,,,,X,*
Vicia angustifolia s.l.,Schmalblättrige Futterwicke ,,,,,X,,*
Vicia cracca,Vogel-Wicke,,,,,X,,*
Vicia hirsuta,Rauhaarige Wicke,,X,X,,,,*
Vicia sepium,Zaun-Wicke,,,,,X,,*
Vicia tetrasperma,Viersamige Wicke,,X,X,,,,*
Viola canina s.l.,Zweiblütiges Veilchen,,,,,,X,*
Viola riviniana,Hain-Veilchen,,,,,,X,*
